path,rel_path,label,label_name,pair,generator_id,benchmark,missing,content_path,target
F:\MEngDatasets\GenVidBench\GenVidBench\Pair2\cogvideo\cogvideo\01698___a screen shot of an image in adobe illustrator.mp4,Pair2\cogvideo\cogvideo\01698___a screen shot of an image in adobe illustrator.mp4,1,fake,Pair2,cogvideo,GenVidBench,False,D:\HaitongNi\MEngProject_SecondBench\02_D3\cache\frames\fake\Pair2_cogvideo_cogvideo_01698__a_screen_shot_of_an_image_in_adobe_illustrator.mp4,1
F:\MEngDatasets\GenVidBench\GenVidBench\Pair2\musev\musev\10955___a news anchor is talking to a camera.mp4,Pair2\musev\musev\10955___a news anchor is talking to a camera.mp4,1,fake,Pair2,musev,GenVidBench,False,D:\HaitongNi\MEngProject_SecondBench\02_D3\cache\frames\fake\Pair2_musev_musev_10955__a_news_anchor_is_talking_to_a_camera.mp4,1
F:\MEngDatasets\GenVidBench\GenVidBench\Pair2\musev\musev\01479___a group of police officers standing next to each other.mp4,Pair2\musev\musev\01479___a group of police officers standing next to each other.mp4,1,fake,Pair2,musev,GenVidBench,False,D:\HaitongNi\MEngProject_SecondBench\02_D3\cache\frames\fake\Pair2_musev_musev_01479__a_group_of_police_officers_standing_next_to_each_other.mp4,1
F:\MEngDatasets\GenVidBench\GenVidBench\Pair1\ms\ms\ms-c9b2959a-0cce-5df3-90e3-e0a70895dd77.mp4,Pair1\ms\ms\ms-c9b2959a-0cce-5df3-90e3-e0a70895dd77.mp4,1,fake,Pair1,ms,GenVidBench,False,D:\HaitongNi\MEngProject_SecondBench\02_D3\cache\frames\fake\Pair1_ms_ms_ms-c9b2959a-0cce-5df3-90e3-e0a70895dd77.mp4,1
F:\MEngDatasets\GenVidBench\GenVidBench\Pair1\ms\ms\ms-70d666ee-bd5d-5ade-b0d1-b5b9085d5ca5.mp4,Pair1\ms\ms\ms-70d666ee-bd5d-5ade-b0d1-b5b9085d5ca5.mp4,1,fake,Pair1,ms,GenVidBench,False,D:\HaitongNi\MEngProject_SecondBench\02_D3\cache\frames\fake\Pair1_ms_ms_ms-70d666ee-bd5d-5ade-b0d1-b5b9085d5ca5.mp4,1
F:\MEngDatasets\GenVidBench\GenVidBench\Pair1\ms\ms\ms-fd1c0be6-3ea0-504d-a8eb-3124d364ce30.mp4,Pair1\ms\ms\ms-fd1c0be6-3ea0-504d-a8eb-3124d364ce30.mp4,1,fake,Pair1,ms,GenVidBench,False,D:\HaitongNi\MEngProject_SecondBench\02_D3\cache\frames\fake\Pair1_ms_ms_ms-fd1c0be6-3ea0-504d-a8eb-3124d364ce30.mp4,1
F:\MEngDatasets\GenVidBench\GenVidBench\Pair2\cogvideo\cogvideo\03071___a shelf with a variety of metal items on it.mp4,Pair2\cogvideo\cogvideo\03071___a shelf with a variety of metal items on it.mp4,1,fake,Pair2,cogvideo,GenVidBench,False,D:\HaitongNi\MEngProject_SecondBench\02_D3\cache\frames\fake\Pair2_cogvideo_cogvideo_03071__a_shelf_with_a_variety_of_metal_items_on_it.mp4,1
F:\MEngDatasets\GenVidBench\GenVidBench\Pair2\svd\svd\12738___a stop sign with a street sign on top of it.mp4,Pair2\svd\svd\12738___a stop sign with a street sign on top of it.mp4,1,fake,Pair2,svd,GenVidBench,False,D:\HaitongNi\MEngProject_SecondBench\02_D3\cache\frames\fake\Pair2_svd_svd_12738__a_stop_sign_with_a_street_sign_on_top_of_it.mp4,1
F:\MEngDatasets\GenVidBench\GenVidBench\Pair1\pika\pika\pika-12576125-3471-5ed6-9be2-055b7a86f8ce.mp4,Pair1\pika\pika\pika-12576125-3471-5ed6-9be2-055b7a86f8ce.mp4,1,fake,Pair1,pika,GenVidBench,False,D:\HaitongNi\MEngProject_SecondBench\02_D3\cache\frames\fake\Pair1_pika_pika_pika-12576125-3471-5ed6-9be2-055b7a86f8ce.mp4,1
F:\MEngDatasets\GenVidBench\GenVidBench\Pair1\ms\ms\ms-38cf1d7c-c109-5d4c-aad6-d7638135a2b6.mp4,Pair1\ms\ms\ms-38cf1d7c-c109-5d4c-aad6-d7638135a2b6.mp4,1,fake,Pair1,ms,GenVidBench,False,D:\HaitongNi\MEngProject_SecondBench\02_D3\cache\frames\fake\Pair1_ms_ms_ms-38cf1d7c-c109-5d4c-aad6-d7638135a2b6.mp4,1
